,Time (d),COD_meas_Pearson (gCOD/m3),COD_pred_Pearson (gCOD/m3)
343,494.375,50.858106048,51.25498
344,494.39583330000005,50.66788420500001,50.976875
345,494.4166667,50.424454173,50.783863
346,494.4375,49.996923651,50.562912
347,494.45833330000005,49.49430613999999,50.187958
348,494.4791667,49.055529186,49.740273
349,494.5,48.61995292899999,49.32937
350,494.52083330000005,48.092326551000006,48.903107
351,494.5416667,47.55390847100001,48.38157
352,494.5625,47.115387401999996,47.838657
353,494.58333330000005,46.777544357,47.37667
354,494.6041667,46.507813008,47.00087
355,494.625,46.245376607,46.68708
356,494.64583330000005,45.93421616800001,46.382576
357,494.6666667,45.587708698,46.034554
358,494.6875,45.23374529500001,45.65365
359,494.70833330000005,44.886810276000006,45.263958
360,494.7291667,44.554904676999996,44.880806
361,494.75,44.274777043,44.51508
362,494.77083330000005,44.090275552,44.20502
363,494.7916667,43.980185005,43.996025
364,494.8125,43.906839176999995,43.865334
365,494.83333330000005,43.820205648000005,43.773586
366,494.8541667,43.67466755,43.670048
367,494.875,43.469247454000005,43.50821
368,494.89583330000005,43.21761726300001,43.286255
369,494.9166667,42.963787121999985,43.016685
370,494.9375,42.752408643,42.743084
371,494.95833330000005,42.544834339000005,42.51094
372,494.9791667,42.271549019000005,42.28238
373,495.0,41.944023059,41.987778
374,495.02083330000005,41.606089504,41.63967
375,495.0416667,41.301193359,41.282963
376,495.0625,41.068009553,40.960796
377,495.08333330000005,40.898419755,40.711098
378,495.1041667,40.762186173,40.525604
379,495.125,40.636373932,40.37439
380,495.14583330000005,40.506567795,40.235294
381,495.1666667,40.356237166999996,40.094433
382,495.1875,40.16547756,39.93599
383,495.20833330000005,39.941172587,39.74085
384,495.2291667,39.703917196999996,39.51618
385,495.25,39.469465638,39.282284
386,495.27083330000005,39.247014048000004,39.054287
387,495.2916667,39.052047336,38.840725
388,495.3125,38.906868707,38.65612
389,495.33333330000005,38.816975783000004,38.52138
390,495.3541667,38.776447937,38.444984
391,495.375,38.800481629000004,38.426205
392,495.39583330000005,38.929303028,38.48742
393,495.4166667,39.119434075,38.67318
394,495.4375,39.242931168,38.931087
395,495.45833330000005,39.258781568,39.122513
396,495.4791667,39.208673141000006,39.193638
397,495.5,39.141506093000004,39.17625
398,495.52083330000005,39.091892636,39.121128
399,495.5416667,39.078449301,39.070248
400,495.5625,39.113266771,39.048626
401,495.58333330000005,39.179570228,39.071793
402,495.6041667,39.236441989,39.12782
403,495.625,39.25629986,39.180386
404,495.64583330000005,39.231734116999995,39.203228
405,495.6666667,39.19005451300001,39.18804
406,495.6875,39.183124161,39.15764
407,495.70833330000005,39.22927013,39.15813
408,495.7291667,39.305673853,39.209866
409,495.75,39.406862964000005,39.296734
410,495.77083330000005,39.563994627,39.41354
411,495.7916667,39.777892051,39.58674
412,495.8125,39.995170385,39.815617
413,495.83333330000005,40.178006249,40.048317
414,495.8541667,40.322864449,40.246735
415,495.875,40.430137570999996,40.40598
416,495.89583330000005,40.489863555999996,40.5264
417,495.9166667,40.506326372,40.598755
418,495.9375,40.501241114,40.62704
419,495.95833330000005,40.504203279,40.632175
420,495.9791667,40.548360233000004,40.642097
421,496.0,40.637857915,40.68856
422,496.02083330000005,40.744205833,40.77776
423,496.0416667,40.840806713000006,40.88425
424,496.0625,40.916287954,40.982494
425,496.08333330000005,40.973944812,41.060528
426,496.1041667,41.02538113,41.12048
427,496.125,41.089115584,41.172985
428,496.14583330000005,41.191406182,41.23542
429,496.1666667,41.336417976,41.33362
430,496.1875,41.498712467,41.474243
431,496.20833330000005,41.64864637699999,41.634468
432,496.2291667,41.76891443,41.78545
433,496.25,41.861524465,41.90939
434,496.27083330000005,41.944391442,42.006664
435,496.2916667,42.039680997,42.093742
436,496.3125,42.170807048,42.192062
437,496.33333330000005,42.338911178000004,42.325687
438,496.3541667,42.514801205,42.500713
439,496.375,42.69069281500001,42.69335
440,496.39583330000005,42.906423869,42.90254
441,496.4166667,43.18349059500001,43.1752
442,496.4375,43.485769413999996,43.523808
443,496.45833330000005,43.761036695,43.894306
444,496.4791667,43.968909706999995,44.22176
445,496.5,44.113087201999996,44.46123
446,496.52083330000005,44.232556066,44.619244
447,496.5416667,44.350217826000005,44.740635
448,496.5625,44.454311774,44.85581
449,496.58333330000005,44.54175169199999,44.95841
450,496.6041667,44.637994983,45.04625
451,496.625,44.76158688499999,45.143658
452,496.64583330000005,44.907583083999995,45.26878
453,496.6666667,45.056072126999986,45.416885
454,496.6875,45.181511365,45.568905
455,496.70833330000005,45.285836498,45.7
456,496.7291667,45.404775988999994,45.811893
457,496.75,45.56142528,45.93962
458,496.77083330000005,45.74698315000001,46.106445
459,496.7916667,45.944567237,46.30426
460,496.8125,46.152061095,46.51451
461,496.83333330000005,46.361304641000004,46.732044
462,496.8541667,46.544444558,46.947994
463,496.875,46.695605971999996,47.13629
464,496.89583330000005,46.84248951400001,47.29086
465,496.9166667,47.000761811999986,47.43678
466,496.9375,47.152612676000004,47.589844
467,496.95833330000005,47.27940374600001,47.73537
468,496.9791667,47.380414455,47.857067
469,497.0,47.466588261000005,47.95456
470,497.02083330000005,47.551718613999995,48.0376
471,497.0416667,47.639563421000005,48.11842
472,497.0625,47.720838661,48.200787
473,497.08333330000005,47.78899710899999,48.276768
474,497.1041667,47.846075946999996,48.340443
475,497.125,47.898971393000004,48.393364
476,497.14583330000005,47.955414315,48.44157
477,497.1666667,48.01725499599999,48.49207
478,497.1875,48.07966307,48.54703
479,497.20833330000005,48.147438046000005,48.602562
480,497.2291667,48.243525753,48.662148
481,497.25,48.373653995,48.74527
482,497.27083330000005,48.506511491000005,48.85806
483,497.2916667,48.619767898,48.97386
484,497.3125,48.729767413999994,49.07233
485,497.33333330000005,48.85351703799999,49.16717
486,497.3541667,48.986100725,49.2748
487,497.375,49.129145696,49.3935
488,497.39583330000005,49.317497312,49.531097
489,497.4166667,49.561140841000004,49.72577
490,497.4375,49.808561541,49.980938
491,497.45833330000005,50.01082356000001,50.23983
492,497.4791667,50.163127085,50.45043
493,497.5,50.285909628999995,50.603374
494,497.52083330000005,50.404988435,50.717525
495,497.5416667,50.528083758,50.81985
496,497.5625,50.63948505,50.922596
497,497.58333330000005,50.730172339,51.015896
498,497.6041667,50.81036909200001,51.09298
499,497.625,50.892252048,51.162384
500,497.64583330000005,50.980484714,51.23409
501,497.6666667,51.078184777,51.311676
502,497.6875,51.191972618,51.397167
503,497.70833330000005,51.315497546,51.49575
504,497.7291667,51.420959617,51.603317
505,497.75,51.500805258999996,51.69763
506,497.77083330000005,51.580494796,51.772713
507,497.7916667,51.679932048000005,51.850433
508,497.8125,51.796115296,51.946724
509,497.83333330000005,51.907363761000006,52.057423
510,497.8541667,51.986095334,52.163067
511,497.875,52.027614838999995,52.23973
512,497.89583330000005,52.052748155,52.28299
513,497.9166667,52.077909911999996,52.310394
514,497.9375,52.1029136,52.336365
515,497.95833330000005,52.12978305,52.361267
516,497.9791667,52.172227965,52.387012
517,498.0,52.235552453000004,52.425404
518,498.02083330000005,52.305741502,52.48147
519,498.0416667,52.369378506000004,52.543453
520,498.0625,52.426722264,52.599567
521,498.08333330000005,52.476445841,52.64974
522,498.1041667,52.50754151,52.69283
523,498.125,52.514332014,52.719288
524,498.14583330000005,52.500294947,52.72417
525,498.1666667,52.473356988999996,52.71057
526,498.1875,52.440849777,52.685543
527,498.20833330000005,52.412395091,52.65557
528,498.2291667,52.402226381000006,52.62889
529,498.25,52.411852173,52.617714
530,498.27083330000005,52.424229731000004,52.62359
531,498.2916667,52.424989435,52.63188
532,498.3125,52.413470306,52.62986
