,Time (d),NH4_meas_PCA (gNm3),NH4_pred_PCA (gN/m3)
1652,521.6458333,0.6534193079999999,0.6925821
1653,521.6666667,0.651706755,0.6914221
1654,521.6875,0.651067752,0.6910803
1655,521.7083333,0.651289275,0.69090873
1656,521.7291667,0.652130196,0.6905229
1657,521.75,0.653333456,0.68981624
1658,521.7708333,0.654662731,0.6892922
1659,521.7916667,0.655941963,0.6894034
1660,521.8125,0.657102199,0.6901629
1661,521.8333333,0.658194918,0.69150525
1662,521.8541667,0.659379829,0.69335157
1663,521.875,0.660868269,0.695689
1664,521.8958333,0.66284342,0.6982503
1665,521.9166667,0.665415335,0.70059794
1666,521.9375,0.668641351,0.7029273
1667,521.9583333,0.672543048,0.70595104
1668,521.9791667,0.6770958440000001,0.70983803
1669,522.0,0.682238969,0.7141303
1670,522.0208333,0.687886463,0.718642
1671,522.0416667,0.693911308,0.72360975
1672,522.0625,0.7001363979999999,0.72906905
1673,522.0833333,0.706347906,0.73472863
1674,522.1041667,0.7123055420000001,0.7401766
1675,522.125,0.717781098,0.7450452
1676,522.1458333,0.722584335,0.74933034
1677,522.1666667,0.726553992,0.75331706
1678,522.1875,0.729542004,0.75737596
1679,522.2083333,0.731373874,0.76177365
1680,522.2291667,0.7318913759999999,0.7658051
1681,522.25,0.73103993,0.76814306
1682,522.2708333,0.7288853209999999,0.76819557
1683,522.2916667,0.7255941669999999,0.7662107
1684,522.3125,0.7213912659999999,0.7625471
1685,522.3333333,0.716511273,0.7573576
1686,522.3541667,0.711131677,0.74939954
1687,522.375,0.705367765,0.7372888
1688,522.3958333,0.6992822059999999,0.7237222
1689,522.4166667,0.692890786,0.7125375
1690,522.4375,0.686264852,0.7050824
1691,522.4583333,0.6795825520000001,0.7007685
1692,522.4791667,0.6731366059999999,0.6980886
1693,522.5,0.667374111,0.695812
1694,522.5208333,0.662801736,0.6933688
1695,522.5416667,0.6597496070000001,0.6907354
1696,522.5625,0.658313865,0.6884752
1697,522.5833333,0.65844366,0.68736905
1698,522.6041667,0.659998327,0.6877705
1699,522.625,0.662746622,0.6895371
1700,522.6458333,0.6663981379999999,0.69247603
1701,522.6666667,0.670688489,0.6965076
1702,522.6875,0.675324622,0.7011746
1703,522.7083333,0.6800274629999999,0.7056636
1704,522.7291667,0.684545828,0.7090118
1705,522.75,0.688739324,0.71034294
1706,522.7708333,0.692608685,0.71052015
1707,522.7916667,0.6962464,0.71152794
1708,522.8125,0.699782728,0.7140876
1709,522.8333333,0.703344347,0.71758807
1710,522.8541667,0.707014837,0.72148
1711,522.875,0.710830932,0.7258163
1712,522.8958333,0.714814904,0.7305705
1713,522.9166667,0.719000477,0.73545337
1714,522.9375,0.723449263,0.74005127
1715,522.9583333,0.728290787,0.7439699
1716,522.9791667,0.733749317,0.74759287
1717,523.0,0.740071136,0.75191504
1718,523.0208333,0.7473747079999998,0.7574434
1719,523.0416667,0.7555870799999999,0.7639994
1720,523.0625,0.7644135999999999,0.77139896
1721,523.0833333,0.773337673,0.7795854
1722,523.1041667,0.7817212840000001,0.78791815
1723,523.125,0.7890349620000001,0.79526937
1724,523.1458333,0.794964964,0.8010698
1725,523.1666667,0.7993694739999999,0.8054312
1726,523.1875,0.802223342,0.8086091
1727,523.2083333,0.803548113,0.81073534
1728,523.2291667,0.803353372,0.8117315
1729,523.25,0.801621039,0.81140655
1730,523.2708333,0.798330822,0.80959576
1731,523.2916667,0.793487492,0.80618733
1732,523.3125,0.787120479,0.80097
1733,523.3333333,0.779288548,0.7936514
1734,523.3541667,0.770072367,0.78285867
1735,523.375,0.759554694,0.7671766
1736,523.3958333,0.7478201949999999,0.7493667
1737,523.4166667,0.735065665,0.7341941
1738,523.4375,0.72173578,0.7233762
1739,523.4583333,0.708311688,0.7156686
1740,523.4791667,0.6952133429999999,0.70892614
