,Time (d),PO4_meas_PCA (gPm3),PO4_pred_PCA (gP/m3)
422,496.02083330000005,1.543590908,1.933401
423,496.0416667,1.559193855,1.9484519
424,496.0625,1.574994383,1.964038
425,496.08333330000005,1.591378155,1.9807045
426,496.1041667,1.608690753,1.9982159
427,496.125,1.627241961,2.0160863
428,496.14583330000005,1.64737038,2.0334742
429,496.1666667,1.669279694,2.0497465
430,496.1875,1.692947129,2.0659552
431,496.20833330000005,1.718256679,2.083692
432,496.2291667,1.745016449,2.1039245
433,496.25,1.7730770180000002,2.1267996
434,496.27083330000005,1.802355342,2.1514213
435,496.2916667,1.832852648,2.1765854
436,496.3125,1.8646528079999998,2.2012963
437,496.33333330000005,1.897691589,2.2252119
438,496.3541667,1.9316439189999999,2.2501173
439,496.375,1.966402449,2.2784424
440,496.39583330000005,2.002382737,2.3119323
441,496.4166667,2.039874478,2.3514667
442,496.4375,2.078618649,2.3945858
443,496.45833330000005,2.118031872,2.4375277
444,496.4791667,2.157351101,2.4778085
445,496.5,2.196013107,2.5142493
446,496.52083330000005,2.233720137,2.5465157
447,496.5416667,2.269983347,2.5748267
448,496.5625,2.303975331,2.6005182
449,496.58333330000005,2.335037091,2.624876
450,496.6041667,2.362901607,2.647674
451,496.625,2.387397365,2.6679008
452,496.64583330000005,2.4083802000000003,2.6851914
453,496.6666667,2.42584415,2.6998918
454,496.6875,2.439981004,2.7128932
455,496.70833330000005,2.451254115,2.7251518
456,496.7291667,2.460273331,2.7367465
457,496.75,2.46758878,2.7472305
458,496.77083330000005,2.47364572,2.757045
459,496.7916667,2.478866171,2.7673404
460,496.8125,2.483684,2.7781599
461,496.83333330000005,2.488449508,2.7887588
462,496.8541667,2.493413674,2.7993574
463,496.875,2.498739337,2.8109252
464,496.89583330000005,2.504512058,2.8229825
465,496.9166667,2.510692044,2.8339791
466,496.9375,2.51709532,2.8438542
467,496.95833330000005,2.523489265,2.853667
468,496.9791667,2.529686902,2.863611
469,497.0,2.535588895,2.8729887
470,497.02083330000005,2.54119249,2.8811398
471,497.0416667,2.54656794,2.8878174
472,497.0625,2.551845302,2.8936553
473,497.08333330000005,2.557221298,2.8995748
474,497.1041667,2.56294994,2.9059353
475,497.125,2.56932182,2.9126227
476,497.14583330000005,2.576643342,2.9194405
477,497.1666667,2.585200032,2.9263484
478,497.1875,2.595227983,2.9337838
479,497.20833330000005,2.606958112,2.942298
480,497.2291667,2.620703682,2.951365
481,497.25,2.636724465,2.9600532
482,497.27083330000005,2.655036209,2.969459
483,497.2916667,2.675556876,2.9814587
484,497.3125,2.698368927,2.996072
485,497.33333330000005,2.723536546,3.0122929
