,Time (d),PO4_meas_Pearson (gP/m3),PO4_pred_Pearson (gP/m3)
4951,590.375,4.191105533,4.0302057
4952,590.3958332999998,4.195500776,4.0292287
4953,590.4166667000002,4.202428627,4.028303
4954,590.4375,4.21140186,4.028548
4955,590.4583332999998,4.221813646,4.0320144
4956,590.4791667000002,4.232965827,4.0396657
4957,590.5,4.244077842,4.0507426
4958,590.5208332999998,4.254307449,4.0632935
4959,590.5416667000002,4.262897899,4.075296
4960,590.5625,4.269283206,4.085494
4961,590.5833332999998,4.273121286,4.093279
4962,590.6041667000002,4.274308041,4.0981627
4963,590.625,4.272944027,4.0997896
4964,590.6458332999998,4.269357032,4.0981565
4965,590.6666667000002,4.263891014,4.093656
4966,590.6875,4.256836795,4.0874147
4967,590.7083332999998,4.248536173,4.0805235
4968,590.7291667000002,4.239455476,4.071453
4969,590.75,4.230021874,4.0579677
4970,590.7708332999998,4.22047808,4.0418506
4971,590.7916667000002,4.21100087,4.0251746
4972,590.8125,4.201742384,4.011018
4973,590.8333332999998,4.1927226310000005,3.9984531
4974,590.8541667000002,4.183820221,3.9865165
4975,590.875,4.174839874,3.974579
4976,590.8958332999998,4.165584045,3.962283
4977,590.9166667000002,4.1558318430000005,3.9495378
4978,590.9375,4.145306734,3.93745
4979,590.9583332999998,4.133757059,3.9275758
4980,590.9791667000002,4.121037729,3.9201164
4981,591.0,4.1072019630000005,3.9140606
4982,591.0208332999998,4.092576004,3.9070916
4983,591.0416667000002,4.077554227,3.8977482
4984,591.0625,4.062443432,3.8870602
4985,591.0833332999998,4.047539547,3.876741
4986,591.1041667000002,4.033149063,3.8677213
4987,591.125,4.019470227,3.8589225
4988,591.1458332999998,4.006592038,3.8509114
4989,591.1666667000002,3.994575718,3.8427067
4990,591.1875,3.9835171809999994,3.8350303
4991,591.2083332999998,3.973596222,3.8285694
4992,591.2291667000002,3.965086995,3.8232903
4993,591.25,3.958220288,3.8188894
4994,591.2708332999998,3.95327879,3.8152657
4995,591.2916667000002,3.9505261809999994,3.812608
4996,591.3125,3.950115075,3.8107913
4997,591.3333332999998,3.952223995,3.809292
4998,591.3541667000002,3.957026027,3.8101697
4999,591.375,3.964698085,3.8117285
5000,591.3958332999998,3.975273973,3.8120399
5001,591.4166667000002,3.9886708540000004,3.8131032
5002,591.4375,4.004842826,3.8162289
5003,591.4583332999998,4.023666859,3.8260987
5004,591.4791667000002,4.044718538,3.844026
5005,591.5,4.067501813,3.8672187
5006,591.5208332999998,4.091708115,3.893684
5007,591.5416667000002,4.116924884,3.9230587
5008,591.5625,4.142407333,3.9542031
5009,591.5833332999998,4.167218757,3.9849446
5010,591.6041667000002,4.190428386000002,4.013274
5011,591.625,4.211301496,4.0384927
5012,591.6458332999998,4.229347616,4.0596895
5013,591.6666667000002,4.244334566,4.0764475
5014,591.6875,4.25620949,4.0893197
5015,591.7083332999998,4.2649475930000005,4.099526
5016,591.7291667000002,4.270583565,4.106028
5017,591.75,4.273330292,4.1071873
5018,591.7708332999998,4.273564252,4.103389
5019,591.7916667000002,4.271877508,4.096877
5020,591.8125,4.268838385,4.088951
5021,591.8333332999998,4.265063303,4.081464
5022,591.8541667000002,4.261131609,4.075211
5023,591.875,4.257540793,4.0702047
5024,591.8958332999998,4.254662157,4.065998
5025,591.9166667000002,4.2526976460000006,4.0622654
5026,591.9375,4.251667272,4.059061
5027,591.9583332999998,4.25142609,4.056678
5028,591.9791667000002,4.251716626,4.056001
5029,592.0,4.252231911,4.0579004
5030,592.0208332999998,4.252684645,4.061814
5031,592.0416667000002,4.2528827310000015,4.066953
5032,592.0625,4.252789016,4.072144
5033,592.0833332999998,4.252534286,4.0770774
5034,592.1041667000002,4.252391164,4.0817485
5035,592.125,4.25272347,4.0862846
5036,592.1458332999998,4.253927261,4.0910573
5037,592.1666667000002,4.256390533,4.096531
5038,592.1875,4.260466893,4.1031275
5039,592.2083332999998,4.26648005,4.1112022
5040,592.2291667000002,4.274704718,4.1212206
5041,592.25,4.285439299,4.13353
5042,592.2708332999998,4.298975264,4.148272
5043,592.2916667000002,4.3155483860000015,4.1659827
5044,592.3125,4.3351953210000005,4.1857467
5045,592.3333332999998,4.357892926,4.205951
5046,592.3541667000002,4.383755432,4.226901
5047,592.375,4.412987445,4.249925
5048,592.3958332999998,4.445893228,4.2741566
5049,592.4166667000002,4.482364807,4.2999644
5050,592.4375,4.521543784,4.3289266
5051,592.4583332999998,4.562235198,4.364109
5052,592.4791667000002,4.603180871,4.4014792
5053,592.5,4.643263626,4.439299
5054,592.5208332999998,4.681466634,4.4763207
5055,592.5416667000002,4.716872039,4.5116205
5056,592.5625,4.748677723999999,4.544552
5057,592.5833332999998,4.776176352,4.5745096
5058,592.6041667000002,4.798860573,4.600731
5059,592.625,4.816507981,4.622457
5060,592.6458332999998,4.829272004,4.6390643
5061,592.6666667000002,4.837709939,4.6504116
5062,592.6875,4.842658731,4.657639
5063,592.7083332999998,4.845055202,4.659961
5064,592.7291667000002,4.845822404,4.6595263
5065,592.75,4.845728698,4.6570973
5066,592.7708332999998,4.845406547,4.653121
5067,592.7916667000002,4.845373878999999,4.648579
5068,592.8125,4.846056329,4.644615
5069,592.8333332999998,4.847795938,4.642699
5070,592.8541667000002,4.850780538,4.6421657
5071,592.875,4.855079405,4.6430182
5072,592.8958332999998,4.860558195,4.645177
5073,592.9166667000002,4.866870769,4.6484637
5074,592.9375,4.8734881560000005,4.6524262
5075,592.9583332999998,4.879858252,4.656553
5076,592.9791667000002,4.8855100810000005,4.661064
5077,593.0,4.890071667,4.6667166
5078,593.0208332999998,4.893316863,4.6735525
5079,593.0416667000002,4.8952428480000005,4.679953
5080,593.0625,4.896078985,4.6852283
5081,593.0833332999998,4.8962472660000005,4.6894403
5082,593.1041667000002,4.896300887,4.6936946
5083,593.125,4.896879735,4.6991196
5084,593.1458332999998,4.898636445,4.7051573
5085,593.1666667000002,4.9021336810000005,4.711066
5086,593.1875,4.907796751,4.7172737
5087,593.2083332999998,4.915905485,4.7246637
5088,593.2291667000002,4.9265816430000005,4.733925
5089,593.25,4.939767001,4.745333
5090,593.2708332999998,4.955231063,4.759076
5091,593.2916667000002,4.97269367,4.774994
5092,593.3125,4.991975383,4.7922926
5093,593.3333332999998,5.0129897880000005,4.810716
5094,593.3541667000002,5.035780666,4.829526
5095,593.375,5.060445111,4.847768
5096,593.3958332999998,5.087078256,4.8660975
5097,593.4166667000002,5.115598609,4.892977
5098,593.4375,5.145530524,4.9200315
5099,593.4583332999998,5.176376724,4.9478536
5100,593.4791667000002,5.207798953,4.9770513
5101,593.5,5.23942099,5.0076933
5102,593.5208332999998,5.270702151,5.0392027
5103,593.5416667000002,5.300965197,5.070632
5104,593.5625,5.329497372,5.1009574
5105,593.5833332999998,5.355574459,5.1297
5106,593.6041667000002,5.378542769,5.156811
5107,593.625,5.397960511,5.180102
5108,593.6458332999998,5.413663674,5.1990614
5109,593.6666667000002,5.425700599,5.213568
5110,593.6875,5.434285765,5.22369
5111,593.7083332999998,5.439719037000001,5.2295136
5112,593.7291667000002,5.442323922000001,5.2312584
5113,593.75,5.442414184,5.229598
5114,593.7708332999998,5.440342538,5.2276635
5115,593.7916667000002,5.436535379,5.2227364
5116,593.8125,5.431506269,5.2154326
5117,593.8333332999998,5.425778071,5.2065783
5118,593.8541667000002,5.419826475,5.196854
5119,593.875,5.413969882999999,5.1867414
5120,593.8958332999998,5.408368928,5.176949
5121,593.9166667000002,5.403040695,5.168281
5122,593.9375,5.397923519,5.1610904
5123,593.9583332999998,5.392921877999999,5.1552286
5124,593.9791667000002,5.387963256,5.150204
5125,594.0,5.383003508,5.14574
5126,594.0208332999998,5.378022444,5.1419516
5127,594.0416667000002,5.373039846,5.1390233
5128,594.0625,5.368115362,5.1367607
5129,594.0833332999998,5.363319857,5.134851
5130,594.1041667000002,5.358731432,5.1333647
5131,594.125,5.354484787,5.1324787
5132,594.1458332999998,5.350787103,5.1320977
5133,594.1666667000002,5.347867085,5.132842
5134,594.1875,5.345943408,5.133751
5135,594.2083332999998,5.345233521,5.1355553
5136,594.2291667000002,5.34592372,5.138807
5137,594.25,5.348181423,5.143557
5138,594.2708332999998,5.352065641,5.1490145
5139,594.2916667000002,5.357546996,5.1545806
5140,594.3125,5.364577408,5.1604753
5141,594.3333332999998,5.373097198,5.166954
5142,594.3541667000002,5.3829873,5.173423
5143,594.375,5.394108155,5.1787624
5144,594.3958332999998,5.406497657,5.190303
5145,594.4166667000002,5.420067873,5.203691
5146,594.4375,5.434381609,5.216878
5147,594.4583332999998,5.448934874,5.230034
5148,594.4791667000002,5.463326494,5.2433286
5149,594.5,5.477210993,5.256729
5150,594.5208332999998,5.490183326,5.2700167
5151,594.5416667000002,5.501650642,5.282688
5152,594.5625,5.510849536,5.2938657
5153,594.5833332999998,5.51699931,5.3025036
5154,594.6041667000002,5.5195177210000015,5.307705
5155,594.625,5.518221174,5.3091555
5156,594.6458332999998,5.513220713,5.3068953
5157,594.6666667000002,5.504785665,5.3009696
5158,594.6875,5.493304945,5.2915945
5159,594.7083332999998,5.479188552999999,5.279269
5160,594.7291667000002,5.462867749,5.2644267
5161,594.75,5.444785391,5.247347
5162,594.7708332999998,5.425617367,5.227916
5163,594.7916667000002,5.406000265,5.206349
5164,594.8125,5.386304451,5.183602
5165,594.8333332999998,5.366815798,5.1609135
5166,594.8541667000002,5.347815741000001,5.1390495
5167,594.875,5.329522608,5.1181126
5168,594.8958332999998,5.312038686,5.0978746
5169,594.9166667000002,5.295264622,5.078233
5170,594.9375,5.278906631,5.0594378
5171,594.9583332999998,5.2626324030000005,5.0416923
5172,594.9791667000002,5.246158165,5.0248966
5173,595.0,5.229173676,5.008862
5174,595.0208332999998,5.21135368,4.993249
5175,595.0416667000002,5.192427975,4.977927
5176,595.0625,5.172208628,4.9637837
5177,595.0833332999998,5.150813963,4.949022
5178,595.1041667000002,5.128777101,4.932189
5179,595.125,5.10667401,4.9129996
5180,595.1458332999998,5.084904335,4.892579
5181,595.1666667000002,5.063770568,4.8720016
5182,595.1875,5.043500887,4.8518624
5183,595.2083332999998,5.024169866,4.8324738
5184,595.2291667000002,5.005731139,4.8139367
5185,595.25,4.988131349,4.7962008
5186,595.2708332999998,4.971396546999999,4.7792063
5187,595.2916667000002,4.955611512,4.7629676
5188,595.3125,4.940898192,4.747489
5189,595.3333332999998,4.927508836,4.7326374
5190,595.3541667000002,4.915806236,4.718272
5191,595.375,4.906146806000001,4.704183
5192,595.3958332999998,4.898802904,4.693526
5193,595.4166667000002,4.894077282,4.6899233
5194,595.4375,4.892043909,4.6860933
5195,595.4583332999998,4.892387542,4.68372
5196,595.4791667000002,4.894531909,4.6840053
5197,595.5,4.897704637,4.686783
5198,595.5208332999998,4.900894906,4.6907377
5199,595.5416667000002,4.902963051,4.694435
5200,595.5625,4.902847648,4.6967807
5201,595.5833332999998,4.899727861000001,4.696894
5202,595.6041667000002,4.8930904580000005,4.694073
5203,595.625,4.882680083,4.6878414
5204,595.6458332999998,4.868598547,4.6779103
5205,595.6666667000002,4.8510011010000005,4.664292
5206,595.6875,4.830136371,4.6471977
5207,595.7083332999998,4.806480512,4.6269064
5208,595.7291667000002,4.780780892,4.603725
5209,595.75,4.753818082,4.577989
5210,595.7708332999998,4.726157268,4.550015
5211,595.7916667000002,4.69834357,4.5206366
5212,595.8125,4.670958059,4.491198
5213,595.8333332999998,4.644615969,4.4625945
5214,595.8541667000002,4.619860593,4.434775
5215,595.875,4.596787611,4.4076815
5216,595.8958332999998,4.575062631000001,4.381617
5217,595.9166667000002,4.554071448999999,4.356835
5218,595.9375,4.533040636,4.333513
5219,595.9583332999998,4.511266297,4.31154
5220,595.9791667000002,4.488328142,4.2905784
5221,596.0,4.464126316000001,4.2703247
5222,596.0208332999998,4.43886469,4.2496233
5223,596.0416667000002,4.413026311,4.22797
5224,596.0625,4.387261263,4.205046
5225,596.0833332999998,4.362273837,4.182591
5226,596.1041667000002,4.338733208,4.1611896
5227,596.125,4.3171654880000006,4.1413946
5228,596.1458332999998,4.298063857,4.1236043
5229,596.1666667000002,4.281805917,4.108205
5230,596.1875,4.268658545,4.0955067
5231,596.2083332999998,4.258769859,4.0857596
5232,596.2291667000002,4.252195957,4.079226
5233,596.25,4.248979886,4.075962
5234,596.2708332999998,4.24913379,4.0756707
5235,596.2916667000002,4.252588298,4.0779886
5236,596.3125,4.259158077,4.0832353
5237,596.3333332999998,4.268511346,4.0908127
5238,596.3541667000002,4.28031277,4.100574
5239,596.375,4.294321947,4.111332
5240,596.3958332999998,4.310580815,4.121292
5241,596.4166667000002,4.328997088,4.132148
5242,596.4375,4.34896577,4.1467505
5243,596.4583332999998,4.36983957,4.165134
5244,596.4791667000002,4.391298261,4.1864104
5245,596.5,4.413130608,4.2100205
5246,596.5208332999998,4.434970644,4.234993
5247,596.5416667000002,4.456223143,4.26007
5248,596.5625,4.476115137,4.2827864
5249,596.5833332999998,4.493973813999999,4.302212
5250,596.6041667000002,4.509341932,4.3196397
5251,596.625,4.521766527,4.3358755
5252,596.6458332999998,4.530822459,4.3501863
5253,596.6666667000002,4.536286508,4.360911
5254,596.6875,4.538261169,4.3664136
5255,596.7083332999998,4.537182823,4.3660784
5256,596.7291667000002,4.533559977,4.3604355
5257,596.75,4.527800973,4.3501754
5258,596.7708332999998,4.52015468,4.3366485
