,Time (d),Biogas_meas_PCA (m3/d),Biogas_pred_PCA (m3/d)
4918,589.6875,15074.65016,15015.658
4919,589.7083332999998,15075.70518,15016.538
4920,589.7291667000002,15076.73691,15016.985
4921,589.75,15078.62761,15015.643
4922,589.7708332999998,15080.3041,15013.971
4923,589.7916667000002,15081.80781,15013.126
4924,589.8125,15083.839419999998,15014.043
4925,589.8333332999998,15086.47261,15016.694
4926,589.8541667000002,15088.7122,15020.288
4927,589.875,15091.43812,15023.495
4928,589.8958332999998,15094.45987,15026.847
4929,589.9166667000002,15098.28234,15029.955
4930,589.9375,15102.30285,15033.835
4931,589.9583332999998,15105.94934,15038.813
4932,589.9791667000002,15110.26436,15044.433
4933,590.0,15115.0886,15051.147
4934,590.0208332999998,15120.29498,15058.113
4935,590.0416667000002,15125.1081,15064.714
4936,590.0625,15129.61922,15070.513
4937,590.0833332999998,15134.75272,15076.237
4938,590.1041667000002,15139.76597,15082.83
4939,590.125,15144.29276,15089.237
4940,590.1458332999998,15149.31547,15094.889
4941,590.1666667000002,15154.12111,15100.695
4942,590.1875,15159.046080000002,15106.203
4943,590.2083332999998,15163.73988,15111.942
4944,590.2291667000002,15168.98628,15117.574
4945,590.25,15173.52583,15123.655
4946,590.2708332999998,15177.908119999998,15128.876
4947,590.2916667000002,15181.8917,15133.665
4948,590.3125,15185.8495,15137.586
4949,590.3333332999998,15189.932680000002,15140.693
4950,590.3541667000002,15194.18811,15142.421
4951,590.375,15198.363919999998,15141.632
4952,590.3958332999998,15202.10936,15138.039
4953,590.4166667000002,15205.66263,15132.777
4954,590.4375,15208.697369999998,15128.782
4955,590.4583332999998,15211.51312,15128.544
4956,590.4791667000002,15214.34735,15131.806
4957,590.5,15217.24368,15136.13
4958,590.5208332999998,15220.13446,15140.435
4959,590.5416667000002,15223.02959,15145.151
4960,590.5625,15225.791119999998,15150.492
4961,590.5833332999998,15228.43799,15155.95
4962,590.6041667000002,15230.82753,15161.023
4963,590.625,15233.09242,15165.219
4964,590.6458332999998,15234.95575,15168.606
4965,590.6666667000002,15236.71566,15171.038
4966,590.6875,15238.71708,15172.93
4967,590.7083332999998,15240.83566,15174.685
4968,590.7291667000002,15242.65226,15175.81
4969,590.75,15244.05283,15175.26
4970,590.7708332999998,15245.42524,15173.373
4971,590.7916667000002,15247.00949,15171.807
4972,590.8125,15248.75517,15171.702
4973,590.8333332999998,15250.40581,15173.222
4974,590.8541667000002,15252.03662,15175.763
4975,590.875,15253.659930000002,15178.906
4976,590.8958332999998,15255.20324,15182.124
4977,590.9166667000002,15256.87437,15184.972
4978,590.9375,15258.87956,15187.569
4979,590.9583332999998,15261.17504,15190.228
4980,590.9791667000002,15263.97014,15193.192
4981,591.0,15267.24989,15196.944
4982,591.0208332999998,15269.75351,15201.478
4983,591.0416667000002,15272.25955,15205.412
4984,591.0625,15274.85856,15209.308
4985,591.0833332999998,15277.5374,15213.232
4986,591.1041667000002,15280.20966,15217.17
4987,591.125,15282.67751,15220.987
4988,591.1458332999998,15285.12121,15224.489
4989,591.1666667000002,15287.37419,15227.878
4990,591.1875,15289.58374,15231.046
4991,591.2083332999998,15291.75264,15234.17
4992,591.2291667000002,15293.68162,15237.333
4993,591.25,15295.40045,15240.427
4994,591.2708332999998,15296.71026,15243.511
4995,591.2916667000002,15297.64082,15246.362
4996,591.3125,15298.3182,15248.609
4997,591.3333332999998,15298.57755,15249.854
4998,591.3541667000002,15298.9006,15249.328
4999,591.375,15299.09097,15246.678
5000,591.3958332999998,15299.05088,15242.106
5001,591.4166667000002,15298.76176,15237.717
5002,591.4375,15297.90499,15235.562
5003,591.4583332999998,15297.37242,15235.721
5004,591.4791667000002,15296.73838,15237.562
5005,591.5,15295.74347,15238.993
5006,591.5208332999998,15294.8204,15239.096
5007,591.5416667000002,15294.25959,15238.426
5008,591.5625,15293.839719999998,15237.815
5009,591.5833332999998,15293.35529,15237.553
5010,591.6041667000002,15292.63039,15237.643
5011,591.625,15291.70109,15237.872
5012,591.6458332999998,15290.62704,15238.014
5013,591.6666667000002,15289.48469,15237.837
5014,591.6875,15288.55775,15237.1
5015,591.7083332999998,15287.88721,15235.819
5016,591.7291667000002,15287.46964,15233.92
5017,591.75,15287.07168,15231.366
5018,591.7708332999998,15286.78237,15228.625
5019,591.7916667000002,15286.74384,15226.858
5020,591.8125,15287.1141,15226.583
5021,591.8333332999998,15287.69027,15227.653
5022,591.8541667000002,15288.869530000002,15229.393
5023,591.875,15290.26573,15231.836
5024,591.8958332999998,15291.67726,15234.398
5025,591.9166667000002,15293.31111,15236.742
5026,591.9375,15294.803440000003,15238.971
5027,591.9583332999998,15296.21302,15240.73
5028,591.9791667000002,15297.89796,15242.335
5029,592.0,15300.183819999998,15244.477
5030,592.0208332999998,15302.51975,15247.497
5031,592.0416667000002,15304.79538,15250.698
5032,592.0625,15307.26274,15253.8125
5033,592.0833332999998,15309.79166,15257.026
5034,592.1041667000002,15312.30139,15260.411
5035,592.125,15314.71764,15264.124
5036,592.1458332999998,15316.9949,15267.884
5037,592.1666667000002,15319.16971,15271.2705
5038,592.1875,15321.18755,15274.212
5039,592.2083332999998,15323.13485,15276.752
5040,592.2291667000002,15324.95727,15279.091
5041,592.25,15326.6249,15281.263
5042,592.2708332999998,15328.39101,15283.239
5043,592.2916667000002,15329.95679,15285.221
5044,592.3125,15331.27453,15286.881
5045,592.3333332999998,15332.086130000003,15288.088
5046,592.3541667000002,15332.95594,15288.278
5047,592.375,15333.80441,15287.368
5048,592.3958332999998,15335.15399,15285.298
5049,592.4166667000002,15336.99386,15283.621
5050,592.4375,15338.73885,15283.451
5051,592.4583332999998,15340.60974,15284.594
5052,592.4791667000002,15341.94709,15286.82
5053,592.5,15343.19058,15288.907
5054,592.5208332999998,15344.33351,15290.928
5055,592.5416667000002,15345.66823,15292.828
5056,592.5625,15347.18161,15295.0
5057,592.5833332999998,15349.07591,15297.565
5058,592.6041667000002,15351.20879,15300.636
5059,592.625,15353.542419999998,15303.885
5060,592.6458332999998,15355.95365,15307.1045
5061,592.6666667000002,15358.243,15310.039
5062,592.6875,15360.36605,15312.339
5063,592.7083332999998,15362.39363,15313.802
5064,592.7291667000002,15364.46677,15314.455
5065,592.75,15366.67025,15314.521
5066,592.7708332999998,15368.99974,15314.544
5067,592.7916667000002,15371.53562,15315.143
5068,592.8125,15374.17927,15316.56
5069,592.8333332999998,15376.85006,15318.462
5070,592.8541667000002,15379.65564,15320.429
5071,592.875,15382.67133,15322.342
5072,592.8958332999998,15385.60298,15324.393
5073,592.9166667000002,15388.41477,15326.608
5074,592.9375,15391.10736,15329.136
5075,592.9583332999998,15393.68127,15331.962
5076,592.9791667000002,15396.44204,15334.799
5077,593.0,15399.35437,15337.668
5078,593.0208332999998,15402.21024,15340.606
5079,593.0416667000002,15405.23295,15343.637
5080,593.0625,15408.13044,15347.008
5081,593.0833332999998,15411.011380000002,15350.332
5082,593.1041667000002,15414.12621,15353.72
5083,593.125,15417.40379,15357.538
5084,593.1458332999998,15420.46416,15361.634
5085,593.1666667000002,15423.19833,15365.355
5086,593.1875,15425.349880000002,15368.517
5087,593.2083332999998,15427.32155,15371.041
5088,593.2291667000002,15428.92502,15373.487
5089,593.25,15430.25077,15375.763
5090,593.2708332999998,15431.15065,15377.712
5091,593.2916667000002,15431.8469,15378.871
5092,593.3125,15432.55819,15379.433
5093,593.3333332999998,15432.54134,15379.79
5094,593.3541667000002,15432.69263,15379.041
5095,593.375,15432.894080000002,15377.261
5096,593.3958332999998,15433.04561,15374.312
5097,593.4166667000002,15433.21175,15371.762
5098,593.4375,15432.7477,15371.077
5099,593.4583332999998,15431.62402,15371.424
5100,593.4791667000002,15430.76926,15371.664
5101,593.5,15429.4116,15371.756
5102,593.5208332999998,15428.39885,15370.885
5103,593.5416667000002,15427.2293,15370.256
5104,593.5625,15426.03974,15369.705
5105,593.5833332999998,15425.09061,15369.409
5106,593.6041667000002,15423.86814,15369.288
5107,593.625,15422.51646,15368.444
5108,593.6458332999998,15421.1475,15367.058
5109,593.6666667000002,15419.02101,15365.575
5110,593.6875,15417.3145,15363.317
5111,593.7083332999998,15414.98321,15361.119
5112,593.7291667000002,15413.12461,15357.856
5113,593.75,15411.26553,15354.618
5114,593.7708332999998,15409.42634,15351.158
5115,593.7916667000002,15407.63584,15347.705
5116,593.8125,15405.65691,15344.688
5117,593.8333332999998,15403.77418,15342.368
5118,593.8541667000002,15401.36416,15340.977
5119,593.875,15398.97549,15339.517
5120,593.8958332999998,15396.63029,15337.955
5121,593.9166667000002,15394.454769999998,15335.986
5122,593.9375,15392.27746,15333.951
5123,593.9583332999998,15390.21115,15332.116
5124,593.9791667000002,15387.7777,15330.667
5125,594.0,15384.95789,15328.98
5126,594.0208332999998,15382.20598,15327.003
5127,594.0416667000002,15379.2296,15325.263
5128,594.0625,15376.4707,15323.674
5129,594.0833332999998,15373.06814,15322.707
5130,594.1041667000002,15370.13774,15321.117
5131,594.125,15366.75934,15319.474
5132,594.1458332999998,15363.57676,15316.96
5133,594.1666667000002,15359.71391,15314.388
5134,594.1875,15355.67151,15311.08
5135,594.2083332999998,15351.6876,15307.526
5136,594.2291667000002,15347.7314,15303.955
5137,594.25,15343.49602,15300.356
5138,594.2708332999998,15339.01588,15296.468
5139,594.2916667000002,15334.17997,15292.296
5140,594.3125,15328.95827,15287.75
5141,594.3333332999998,15323.70284,15282.856
5142,594.3541667000002,15318.5903,15277.595
5143,594.375,15312.95107,15271.347
5144,594.3958332999998,15308.00752,15263.37
5145,594.4166667000002,15303.52198,15255.847
5146,594.4375,15299.180080000002,15249.717
5147,594.4583332999998,15294.12394,15245.094
5148,594.4791667000002,15288.97146,15240.977
5149,594.5,15283.67629,15237.6045
5150,594.5208332999998,15278.54315,15234.261
5151,594.5416667000002,15273.77529,15230.65
5152,594.5625,15269.139330000002,15226.836
5153,594.5833332999998,15264.7163,15222.721
5154,594.6041667000002,15260.07435,15218.583
5155,594.625,15255.13705,15214.133
5156,594.6458332999998,15250.21085,15209.327
5157,594.6666667000002,15245.54305,15204.459
5158,594.6875,15240.77583,15199.771
5159,594.7083332999998,15236.25354,15194.904
5160,594.7291667000002,15231.93444,15189.724
5161,594.75,15227.64115,15183.615
5162,594.7708332999998,15223.08754,15177.036
5163,594.7916667000002,15218.60811,15171.166
5164,594.8125,15214.205130000002,15166.942
5165,594.8333332999998,15210.11969,15163.976
5166,594.8541667000002,15206.20679,15161.424
5167,594.875,15202.42897,15158.3
5168,594.8958332999998,15198.57535,15154.5205
5169,594.9166667000002,15194.64773,15150.256
5170,594.9375,15190.81685,15146.009
5171,594.9583332999998,15187.18335,15142.314
5172,594.9791667000002,15183.62194,15139.1455
5173,595.0,15180.10567,15136.04
5174,595.0208332999998,15176.7592,15132.846
5175,595.0416667000002,15173.72799,15129.7705
5176,595.0625,15171.19263,15127.042
5177,595.0833332999998,15169.002880000002,15124.88
5178,595.1041667000002,15166.68098,15123.178
5179,595.125,15164.13905,15121.432
5180,595.1458332999998,15161.48125,15119.471
5181,595.1666667000002,15158.84086,15117.355
5182,595.1875,15156.16451,15115.223
5183,595.2083332999998,15153.44934,15113.049
5184,595.2291667000002,15150.46634,15110.966
5185,595.25,15148.08216,15108.935
5186,595.2708332999998,15144.39995,15107.724
5187,595.2916667000002,15141.18817,15105.387
5188,595.3125,15138.02959,15103.099
5189,595.3333332999998,15134.95552,15099.926
5190,595.3541667000002,15131.77558,15094.926
