,Time (d),NH4_meas_AutoML (gN/m3),NH4_pred_AutoML (gN/m3)
3132,552.4791667000002,15162.802569999998,15034.523
3133,552.5,15155.84215,15028.351
3134,552.5208332999998,15148.40778,15022.381
3135,552.5416667000002,15140.03201,15015.683
3136,552.5625,15132.16788,15007.956
3137,552.5833332999998,15124.93455,15000.878
3138,552.6041667000002,15116.36093,14994.481
3139,552.625,15108.53066,14986.584
3140,552.6458332999998,15099.53179,14979.326
3141,552.6666667000002,15091.2831,14971.325
3142,552.6875,15083.09395,14964.383
3143,552.7083332999998,15075.07124,14957.391
3144,552.7291667000002,15066.9896,14949.656
3145,552.75,15058.8413,14940.1875
3146,552.7708332999998,15050.15126,14929.413
3147,552.7916667000002,15041.30719,14918.178
3148,552.8125,15032.350380000002,14907.877
3149,552.8333332999998,15023.84216,14898.875
3150,552.8541667000002,15015.6394,14891.33
3151,552.875,15007.63679,14884.536
3152,552.8958332999998,14999.83365,14877.929
3153,552.9166667000002,14991.987619999998,14871.262
3154,552.9375,14984.59614,14864.198
3155,552.9583332999998,14977.3303,14857.1875
3156,552.9791667000002,14970.20585,14850.073
3157,553.0,14963.10611,14843.1045
3158,553.0208332999998,14956.13682,14836.349
3159,553.0416667000002,14949.70203,14830.028
3160,553.0625,14943.25859,14824.74
3161,553.0833332999998,14936.93658,14820.19
3162,553.1041667000002,14930.80084,14816.45
3163,553.125,14924.59216,14813.348
3164,553.1458332999998,14918.47245,14810.1
3165,553.1666667000002,14912.54596,14806.352
3166,553.1875,14906.27198,14802.281
3167,553.2083332999998,14899.98158,14797.79
3168,553.2291667000002,14893.73038,14793.429
3169,553.25,14887.61892,14789.245
3170,553.2708332999998,14881.48236,14785.271
3171,553.2916667000002,14874.89419,14781.281
3172,553.3125,14868.20648,14776.401
3173,553.3333332999998,14861.75149,14770.233
3174,553.3541667000002,14855.47622,14761.683
3175,553.375,14849.16015,14749.535
3176,553.3958332999998,14843.34185,14735.626
3177,553.4166667000002,14836.954769999998,14723.731
3178,553.4375,14830.96586,14714.171
3179,553.4583332999998,14824.99867,14707.272
3180,553.4791667000002,14819.26803,14701.715
3181,553.5,14813.5519,14697.134
3182,553.5208332999998,14807.95719,14692.651
3183,553.5416667000002,14802.568619999998,14687.772
3184,553.5625,14797.46696,14682.767
3185,553.5833332999998,14792.53801,14678.357
3186,553.6041667000002,14787.66722,14674.551
3187,553.625,14782.93227,14670.856
3188,553.6458332999998,14778.4305,14666.994
3189,553.6666667000002,14774.297030000002,14662.938
3190,553.6875,14770.7131,14658.914
3191,553.7083332999998,14767.229630000002,14655.178
3192,553.7291667000002,14764.04432,14650.71
3193,553.75,14760.888819999998,14644.806
3194,553.7708332999998,14757.9595,14637.918
3195,553.7916667000002,14755.56562,14632.048
3196,553.8125,14753.38915,14628.317
3197,553.8333332999998,14752.198380000002,14626.091
3198,553.8541667000002,14751.95935,14625.874
3199,553.875,14751.31426,14627.741
3200,553.8958332999998,14751.86418,14629.68
3201,553.9166667000002,14752.24309,14632.189
3202,553.9375,14752.55551,14633.631
3203,553.9583332999998,14753.278230000002,14634.313
3204,553.9791667000002,14753.88645,14635.291
3205,554.0,14755.38682,14636.671
3206,554.0208332999998,14756.577830000002,14639.496
3207,554.0416667000002,14758.62913,14642.367
3208,554.0625,14761.07394,14646.101
3209,554.0833332999998,14763.54874,14650.101
3210,554.1041667000002,14766.49674,14653.944
3211,554.125,14769.82015,14658.012
