,Time (d),Biogas_meas_GA (m3/d),Biogas_pred_GA (m3/d)
233,492.08333330000005,12875.18501,13093.783
234,492.1041667,12886.05421,13110.684
235,492.125,12897.51194,13125.089
236,492.14583330000005,12910.1491,13139.461
237,492.1666667,12922.3695,13155.231
238,492.1875,12934.22742,13171.238
239,492.20833330000005,12946.23346,13186.812
240,492.2291667,12958.70343,13201.983
241,492.25,12969.91959,13217.256
242,492.27083330000005,12984.10587,13231.44
243,492.2916667,12994.87812,13247.338
244,492.3125,13008.20953,13259.996
245,492.33333330000005,13019.34253,13273.291
246,492.3541667,13032.97547,13280.945
247,492.375,13045.29493,13284.345
248,492.39583330000005,13058.12126,13284.601
249,492.4166667,13071.22906,13287.599
250,492.4375,13083.33221,13295.451
251,492.45833330000005,13096.64915,13306.907
252,492.4791667,13109.42005,13320.907
253,492.5,13122.76607,13334.393
254,492.52083330000005,13136.1013,13348.149
255,492.5416667,13150.48351,13362.045
256,492.5625,13165.34122,13376.764
257,492.58333330000005,13179.493,13391.536
258,492.6041667,13193.42719,13405.31
259,492.625,13207.41639,13418.484
260,492.64583330000005,13220.74082,13431.463
261,492.6666667,13236.69584,13443.916
262,492.6875,13251.30871,13458.006
263,492.70833330000005,13265.37058,13470.154
264,492.7291667,13280.87783,13480.1
265,492.75,13294.98234,13489.272
266,492.77083330000005,13310.6638,13497.971
267,492.7916667,13327.04193,13510.815
268,492.8125,13344.09921,13526.445
269,492.83333330000005,13359.9753,13542.868
270,492.8541667,13376.86965,13558.06
271,492.875,13393.68062,13574.305
272,492.89583330000005,13410.30554,13590.652
273,492.9166667,13428.755330000002,13606.477
274,492.9375,13445.42088,13623.781
275,492.95833330000005,13465.04151,13640.542
276,492.9791667,13483.38838,13660.449
277,493.0,13501.66557,13679.744
278,493.02083330000005,13522.37117,13699.0
279,493.0416667,13541.25916,13720.061
280,493.0625,13558.67314,13739.612
281,493.08333330000005,13578.323019999998,13757.999
282,493.1041667,13597.8379,13778.181
283,493.125,13617.20979,13798.236
284,493.14583330000005,13636.4947,13818.246
285,493.1666667,13655.68295,13838.422
286,493.1875,13674.72241,13858.809
287,493.20833330000005,13694.908919999998,13879.322
288,493.2291667,13712.76226,13900.701
289,493.25,13730.37398,13919.863
290,493.27083330000005,13747.99732,13938.403
291,493.2916667,13765.27288,13956.521
292,493.3125,13781.90881,13973.69
293,493.33333330000005,13798.91776,13989.062
294,493.3541667,13815.066380000002,13999.059
295,493.375,13831.215369999998,14000.496
296,493.39583330000005,13847.05746,14000.412
297,493.4166667,13863.16867,14003.699
298,493.4375,13879.84734,14012.742
299,493.45833330000005,13897.567030000002,14027.422
300,493.4791667,13915.01719,14045.095
301,493.5,13933.40519,14062.277
302,493.52083330000005,13954.30601,14079.469
303,493.5416667,13975.06088,14098.424
304,493.5625,13998.37592,14117.682
305,493.58333330000005,14021.40073,14139.939
306,493.6041667,14044.59789,14162.644
307,493.625,14068.57219,14185.91
308,493.64583330000005,14094.92154,14209.824
309,493.6666667,14124.73844,14235.479
310,493.6875,14153.616730000002,14263.449
311,493.70833330000005,14184.01425,14289.569
312,493.7291667,14216.84067,14314.4375
313,493.75,14251.36638,14338.231
314,493.77083330000005,14287.85466,14363.306
315,493.7916667,14328.13352,14392.361
316,493.8125,14369.06744,14427.245
317,493.83333330000005,14410.8329,14464.504
318,493.8541667,14458.807530000002,14503.223
319,493.875,14508.237819999998,14547.626
320,493.89583330000005,14553.07714,14593.315
321,493.9166667,14605.59733,14634.883
322,493.9375,14660.69319,14683.992
323,493.95833330000005,14718.34161,14736.465
324,493.9791667,14773.10474,14792.135
325,494.0,14836.91225,14845.677
326,494.02083330000005,14897.41707,14908.062
327,494.0416667,14959.38404,14967.948
328,494.0625,15021.78066,15029.712
329,494.08333330000005,15085.65594,15092.371
330,494.1041667,15153.83054,15157.052
331,494.125,15216.27273,15226.511
332,494.14583330000005,15287.2859,15290.882
333,494.1666667,15349.42927,15363.598
334,494.1875,15419.58544,15427.649
335,494.20833330000005,15485.3153,15499.254
336,494.2291667,15551.08614,15566.334
337,494.25,15617.52995,15633.246
338,494.27083330000005,15681.90969,15700.6455
339,494.2916667,15744.387519999998,15765.711
340,494.3125,15806.09722,15827.609
341,494.33333330000005,15867.11541,15886.146
342,494.3541667,15925.28514,15936.708
343,494.375,15981.671610000001,15975.2705
344,494.39583330000005,16036.497209999998,16011.111
345,494.4166667,16089.460910000002,16051.144
346,494.4375,16140.87901,16096.002
347,494.45833330000005,16189.81515,16144.332
348,494.4791667,16236.9224,16192.688
349,494.5,16281.873659999997,16240.035
350,494.52083330000005,16322.744069999999,16285.153
351,494.5416667,16362.549599999998,16326.042
352,494.5625,16397.27265,16366.247
353,494.58333330000005,16431.500330000006,16402.094
354,494.6041667,16461.24509,16437.893
355,494.625,16487.523390000002,16469.143
356,494.64583330000005,16511.92415,16496.447
357,494.6666667,16533.833740000002,16521.268
358,494.6875,16555.191069999993,16542.807
359,494.70833330000005,16569.328690000002,16562.904
360,494.7291667,16583.45881,16574.23
361,494.75,16594.54569,16583.523
362,494.77083330000005,16604.15646,16589.611
363,494.7916667,16610.68888,16596.107
364,494.8125,16614.97959,16601.371
365,494.83333330000005,16615.52774,16605.203
366,494.8541667,16615.00388,16605.3
367,494.875,16613.74397,16604.098
368,494.89583330000005,16607.54685,16601.836
369,494.9166667,16604.4091,16594.271
370,494.9375,16591.83036,16589.805
371,494.95833330000005,16581.8795,16576.36
372,494.9791667,16569.61911,16566.043
373,495.0,16554.47534,16553.873
374,495.02083330000005,16537.204230000007,16539.139
375,495.0416667,16521.68248,16522.396
376,495.0625,16499.41847,16507.527
377,495.08333330000005,16480.594869999994,16486.076
378,495.1041667,16454.177490000002,16468.213
379,495.125,16432.01946,16442.807
380,495.14583330000005,16403.22854,16421.85
381,495.1666667,16376.773710000001,16394.525
382,495.1875,16346.72949,16369.631
383,495.20833330000005,16315.24526,16340.803
384,495.2291667,16286.17846,16309.963
385,495.25,16250.39022,16280.933
386,495.27083330000005,16216.191260000001,16244.665
