,Time (d),Biogas_meas_Pearson (m3/d),Biogas_pred_Pearson (m3/d)
563,510.70833330000005,15121.32745,14989.476
564,510.75,15110.94845,14980.171
565,510.7916667,15101.02408,14970.456
566,510.83333330000005,15092.226369999997,14961.098
567,510.875,15085.34259,14953.308
568,510.9166667,15078.12641,14947.376
569,510.95833330000005,15070.40448,14940.209
570,511.0,15063.73248,14932.566
571,511.0416667,15058.261230000002,14926.15
572,511.08333330000005,15053.241280000002,14920.986
573,511.125,15048.017430000002,14916.289
574,511.1666667,15042.50377,14911.243
575,511.20833330000005,15036.3637,14905.963
576,511.25,15029.869019999998,14899.938
577,511.2916667,15023.10977,14893.685
578,511.33333330000005,15015.3951,14887.217
579,511.375,15007.97122,14879.933
580,511.4166667,15000.98516,14873.134
581,511.45833330000005,14994.730769999998,14867.178
582,511.5,14988.290980000002,14861.337
583,511.5416667,14982.38877,14855.07
584,511.58333330000005,14977.5127,14849.377
585,511.625,14973.0645,14844.727
586,511.6666667,14969.8609,14840.427
587,511.70833330000005,14968.20503,14837.834
588,511.75,14966.54398,14836.716
589,511.7916667,14966.03287,14835.333
590,511.83333330000005,14967.55873,14835.458
591,511.875,14969.265130000002,14837.4795
592,511.9166667,14971.33397,14839.063
593,511.95833330000005,14974.27122,14841.039
594,512.0,14977.537,14843.762
595,512.0416667,14981.04479,14846.829
596,512.0833333,14984.75877,14850.148
597,512.125,14989.07356,14853.786
598,512.1666667,14993.88309,14858.374
599,512.2083333,14997.14413,14863.19
600,512.25,14999.12715,14865.93
601,512.2916667,15001.03986,14867.393
602,512.3333333,15002.54941,14868.978
603,512.375,15004.53584,14870.229
604,512.4166667,15006.3964,14872.414
605,512.4583333,15007.74085,14874.316
606,512.5,15008.6364,14875.287
607,512.5416667,15010.113269999998,14875.661
608,512.5833333,15011.79599,14876.975
609,512.625,15012.69663,14878.266
610,512.6666667,15013.88196,14878.853
611,512.7083333,15014.86213,14880.1
612,512.75,15015.16324,14880.866
613,512.7916667,15015.58371,14881.049
614,512.8333333,15016.78356,14881.456
615,512.875,15020.19526,14882.94
616,512.9166667,15024.57219,14887.109
617,512.9583333,15028.12237,14891.709
618,513.0,15031.67838,14894.748
619,513.0416667,15036.73641,14897.968
