,Time (d),NH4_meas_Pearson (gN/m3),NH4_pred_Pearson (gN/m3)
1769,560.9583332999998,0.616879477,0.6571003
1770,561.0,0.6271714660000001,0.6648882
1771,561.0416667000002,0.639807253,0.67332226
1772,561.0833332999998,0.6540625870000001,0.68274087
1773,561.125,0.668793595,0.6920678
1774,561.1666667000002,0.682192192,0.7017891
1775,561.2083332999998,0.69211058,0.7102851
1776,561.25,0.696976962,0.7157725
1777,561.2916667000002,0.696252505,0.7170983
1778,561.3333332999998,0.6903772229999999,0.71422637
1779,561.375,0.680218042,0.709845
1780,561.4166667000002,0.66689057,0.7041395
1781,561.4583332999998,0.652092186,0.6961743
1782,561.5,0.638002052,0.6830497
1783,561.5416667000002,0.626623759,0.66843
1784,561.5833332999998,0.619648577,0.65852916
1785,561.625,0.617823349,0.65434146
1786,561.6666667000002,0.620292715,0.65308994
1787,561.7083332999998,0.6259602120000001,0.65314335
1788,561.75,0.634350699,0.65800637
1789,561.7916667000002,0.644430433,0.6674383
1790,561.8333332999998,0.654533099,0.6776209
1791,561.875,0.6634807070000001,0.6913738
1792,561.9166667000002,0.671531818,0.70172346
1793,561.9583332999998,0.680855542,0.7095142
1794,562.0,0.6943480679999999,0.720014
1795,562.0416667000002,0.713003409,0.7324302
1796,562.0833332999998,0.7356297190000001,0.7483321
1797,562.125,0.7598060470000001,0.76791847
1798,562.1666667000002,0.7825559570000001,0.78653276
1799,562.2083332999998,0.800890085,0.80413556
1800,562.25,0.8122314509999998,0.8175741
1801,562.2916667000002,0.8146361249999999,0.8262159
1802,562.3333332999998,0.8070759259999999,0.8290662
1803,562.375,0.7899429670000001,0.82662517
1804,562.4166667000002,0.765081193,0.8180557
1805,562.4583332999998,0.737976836,0.80747694
1806,562.5,0.7152908040000001,0.7839553
1807,562.5416667000002,0.7037603570000001,0.7644123
1808,562.5833332999998,0.7077472359999999,0.7510801
1809,562.625,0.725357148,0.7507882
1810,562.6666667000002,0.7504144779999999,0.7639635
1811,562.7083332999998,0.774616801,0.78661036
1812,562.75,0.791201113,0.8077981
1813,562.7916667000002,0.798244569,0.8235262
1814,562.8333332999998,0.797991737,0.8319848
1815,562.875,0.794407588,0.8343526
1816,562.9166667000002,0.791770889,0.83111966
1817,562.9583332999998,0.79400381,0.82724816
1818,563.0,0.8029986790000001,0.829165
1819,563.0416667000002,0.8166917859999999,0.83353317
1820,563.0833332999998,0.831274848,0.8413184
1821,563.125,0.8432037359999999,0.8500922
1822,563.1666667000002,0.848982128,0.8581289
1823,563.2083332999998,0.845768934,0.8619761
1824,563.25,0.8326145119999999,0.85848105
1825,563.2916667000002,0.811143154,0.8515215
1826,563.3333332999998,0.7847752130000001,0.83473194
1827,563.375,0.7582389150000001,0.8161629
1828,563.4166667000002,0.735298365,0.792477
1829,563.4583332999998,0.7179643240000001,0.7761981
1830,563.5,0.7060928209999999,0.76256186
1831,563.5416667000002,0.698796047,0.7545871
1832,563.5833332999998,0.696571827,0.74623966
1833,563.625,0.7009222009999999,0.7440329
1834,563.6666667000002,0.711527604,0.7492467
1835,563.7083332999998,0.724981668,0.7559654
1836,563.75,0.7383678309999999,0.764836
1837,563.7916667000002,0.74967811,0.7768089
1838,563.8333332999998,0.7562359040000001,0.79093516
1839,563.875,0.7557113329999999,0.80727255
1840,563.9166667000002,0.751453382,0.80998385
1841,563.9583332999998,0.7529143420000001,0.8026178
1842,564.0,0.768320775,0.7995681
1843,564.0416667000002,0.795727348,0.80992275
1844,564.0833332999998,0.8240081090000001,0.83034474
1845,564.125,0.8428040359999999,0.8512023
1846,564.1666667000002,0.848005891,0.8636113
1847,564.2083332999998,0.840549413,0.8639048
1848,564.25,0.823042195,0.85429686
1849,564.2916667000002,0.7987943559999999,0.8397303
1850,564.3333332999998,0.7712219840000001,0.81581134
1851,564.375,0.742665247,0.7909505
1852,564.4166667000002,0.715243555,0.7694525
1853,564.4583332999998,0.690889738,0.75038266
1854,564.5,0.670777987,0.72868377
1855,564.5416667000002,0.655932407,0.70735836
1856,564.5833332999998,0.647453263,0.69100565
1857,564.625,0.6448708329999999,0.6800563
1858,564.6666667000002,0.6461055689999999,0.6750987
1859,564.7083332999998,0.6489255070000001,0.6757741
1860,564.75,0.651386914,0.6788256
1861,564.7916667000002,0.652542316,0.6807406
1862,564.8333332999998,0.652546699,0.68334705
1863,564.875,0.6520836,0.68671364
1864,564.9166667000002,0.6519256,0.68573767
1865,564.9583332999998,0.653099571,0.6826023
1866,565.0,0.656567217,0.68068683
1867,565.0416667000002,0.662056314,0.68278617
1868,565.0833332999998,0.6679562689999999,0.684954
1869,565.125,0.6727707690000001,0.6872643
1870,565.1666667000002,0.6758609640000001,0.68832254
1871,565.2083332999998,0.677119087,0.688266
1872,565.25,0.6764970440000001,0.68804836
1873,565.2916667000002,0.6739737729999999,0.6859832
1874,565.3333332999998,0.66962784,0.68314075
1875,565.375,0.663792327,0.67995656
1876,565.4166667000002,0.656786616,0.6769898
1877,565.4583332999998,0.649174141,0.67438924
1878,565.5,0.641568765,0.6675197
1879,565.5416667000002,0.634881202,0.6619362
1880,565.5833332999998,0.630076391,0.6548007
1881,565.625,0.6278483579999999,0.65263075
1882,565.6666667000002,0.62828807,0.65146315
1883,565.7083332999998,0.630841887,0.6505347
1884,565.75,0.634985506,0.6526563
1885,565.7916667000002,0.64018341,0.6564619
1886,565.8333332999998,0.645507189,0.664565
1887,565.875,0.64993917,0.6711069
1888,565.9166667000002,0.653336269,0.6774532
1889,565.9583332999998,0.656545814,0.68301296
1890,566.0,0.66072652,0.68607384
1891,566.0416667000002,0.66667274,0.6882486
1892,566.0833332999998,0.674504903,0.6912044
1893,566.125,0.6832043459999999,0.6969585
1894,566.1666667000002,0.690949987,0.70276624
1895,566.2083332999998,0.695933444,0.7101699
1896,566.25,0.697093631,0.7150036
