,Time (d),Biogas_meas_Pearson_NPC (m3/d),Biogas_pred_Pearson_NPC (m3/d)
365,498.65625,13327.39054,14428.434
366,498.6875,13331.3743,14431.699
367,498.71875,13334.58801,14432.885
368,498.75,13338.29484,14429.4795
369,498.78125,13342.40187,14423.364
370,498.8125,13347.94702,14417.185
371,498.84375,13354.27599,14414.464
372,498.875,13360.26863,14414.566
373,498.90625,13368.36911,14413.995
374,498.9375,13375.18596,14412.795
375,498.96875,13382.62156,14411.465
376,499.0,13392.38985,14410.405
377,499.03125,13401.43662,14410.95
378,499.0625,13411.78577,14415.524
379,499.09375,13422.02978,14423.739
380,499.125,13431.57034,14431.562
381,499.15625,13441.6689,14435.778
382,499.1875,13452.26909,14439.906
383,499.21875,13460.99689,14444.361
384,499.25,13470.66005,14447.951
385,499.28125,13480.0014,14451.132
386,499.3125,13488.601,14454.014
387,499.34375,13496.97766,14455.19
388,499.375,13505.5471,14449.997
389,499.40625,13514.68197,14436.8125
390,499.4375,13522.9245,14425.263
391,499.46875,13531.02753,14421.494
392,499.5,13540.88712,14424.701
393,499.53125,13550.205419999998,14429.917
394,499.5625,13559.41512,14431.321
395,499.59375,13568.4461,14428.734
396,499.625,13577.75539,14425.511
397,499.65625,13587.66052,14423.801
398,499.6875,13598.01557,14422.354
399,499.71875,13607.44045,14419.724
400,499.75,13617.48519,14414.565
401,499.78125,13627.916630000002,14407.845
402,499.8125,13638.42106,14404.726
403,499.84375,13649.10855,14403.403
404,499.875,13660.00553,14402.22
405,499.90625,13672.46747,14402.849
406,499.9375,13684.09749,14404.987
407,499.96875,13695.71116,14405.789
408,500.0,13708.18834,14404.716
409,500.03125,13720.13053,14403.92
410,500.0625,13732.43695,14404.355
411,500.09375,13744.68591,14406.079
412,500.125,13756.69078,14409.268
413,500.15625,13768.96334,14413.851
414,500.1875,13779.66593,14418.507
415,500.21875,13790.7287,14422.731
416,500.25,13800.31799,14426.797
417,500.28125,13809.52021,14431.114
418,500.3125,13818.28306,14436.141
419,500.34375,13826.24716,14438.204
420,500.375,13834.012880000002,14432.426
421,500.40625,13841.91599,14420.107
422,500.4375,13849.540309999997,14410.646
423,500.46875,13856.621769999998,14407.728
424,500.5,13864.20408,14409.591
425,500.53125,13871.478969999998,14412.497
426,500.5625,13878.56261,14413.56
427,500.59375,13886.12613,14414.289
428,500.625,13894.24787,14416.612
429,500.65625,13902.15448,14420.058
430,500.6875,13909.87285,14422.934
431,500.71875,13917.90341,14424.0
432,500.75,13926.55662,14422.857
433,500.78125,13935.9416,14420.469
434,500.8125,13945.60685,14419.573
435,500.84375,13955.72741,14420.19
436,500.875,13967.10646,14421.578
437,500.90625,13977.78755,14422.987
438,500.9375,13989.22085,14421.996
439,500.96875,14000.78317,14420.972
440,501.0,14013.9971,14422.65
441,501.03125,14027.324530000002,14426.82
442,501.0625,14040.44326,14431.478
443,501.09375,14052.99491,14435.48
444,501.125,14065.19447,14439.788
445,501.15625,14077.74434,14445.86
446,501.1875,14089.68516,14453.3125
447,501.21875,14100.97744,14461.032
448,501.25,14111.47064,14468.143
449,501.28125,14121.25859,14474.624
450,501.3125,14130.8957,14482.186
451,501.34375,14140.521169999998,14492.512
452,501.375,14149.57711,14492.9
453,501.40625,14158.08592,14472.6875
454,501.4375,14166.39834,14454.808
455,501.46875,14174.6365,14450.393
456,501.5,14183.02487,14454.752
457,501.53125,14191.62255,14460.098
458,501.5625,14200.47578,14464.52
459,501.59375,14209.57735,14469.7295
460,501.625,14218.7963,14476.678
461,501.65625,14227.53503,14484.12
462,501.6875,14236.154169999998,14488.844
463,501.71875,14245.05546,14490.7295
