,Time (d),NH4_meas_Pearson_NPC (gN/m3),NH4_pred_Pearson_NPC (gN/m3)
332,497.625,0.607070136,0.6755768
333,497.65625,0.610361166,0.6809555
334,497.6875,0.615444703,0.6887937
335,497.71875,0.621796746,0.6971111
336,497.75,0.628667866,0.7021944
337,497.78125,0.635524425,0.70488113
338,497.8125,0.642118334,0.7104896
339,497.84375,0.6482855470000001,0.71942294
340,497.875,0.653868,0.72902524
341,497.90625,0.658951072,0.7380288
342,497.9375,0.6639003529999999,0.74660814
343,497.96875,0.669122651,0.75337243
344,498.0,0.674744855,0.7582596
345,498.03125,0.6804892159999999,0.7607593
346,498.0625,0.68591375,0.76249087
347,498.09375,0.690722464,0.76510155
348,498.125,0.694901628,0.7669254
349,498.15625,0.69864702,0.7669905
350,498.1875,0.702130206,0.7666801
351,498.21875,0.705306923,0.7662011
352,498.25,0.707837492,0.7657062
353,498.28125,0.709118997,0.76488614
354,498.3125,0.708590728,0.76311123
355,498.34375,0.7059805990000001,0.7600194
356,498.375,0.701276175,0.7523948
357,498.40625,0.694657457,0.7364415
358,498.4375,0.686495355,0.71926403
359,498.46875,0.677304193,0.70948607
360,498.5,0.667816771,0.7085817
361,498.53125,0.659212467,0.7111675
362,498.5625,0.652808631,0.7121462
363,498.59375,0.649529935,0.7111193
364,498.625,0.649754842,0.7113155
365,498.65625,0.653379846,0.7145626
366,498.6875,0.659670027,0.719892
367,498.71875,0.6673793060000001,0.7248426
368,498.75,0.675334688,0.7284405
369,498.78125,0.68270556,0.73039913
370,498.8125,0.6891518109999999,0.7350235
371,498.84375,0.694701866,0.7439199
372,498.875,0.6995566540000001,0.75351584
373,498.90625,0.704189232,0.76329106
374,498.9375,0.7092859490000001,0.7727838
375,498.96875,0.715637628,0.779516
376,499.0,0.723880454,0.7831545
377,499.03125,0.734298565,0.78474027
378,499.0625,0.7464308470000001,0.78639805
379,499.09375,0.7587632040000001,0.78828484
380,499.125,0.7693454720000001,0.7896694
381,499.15625,0.7772020259999999,0.79104143
382,499.1875,0.782488225,0.7925734
383,499.21875,0.7858935920000001,0.79254514
384,499.25,0.7878468279999999,0.79176533
385,499.28125,0.788184922,0.7909943
386,499.3125,0.7863889340000001,0.79013944
387,499.34375,0.7818784259999999,0.7876995
388,499.375,0.7740753890000001,0.78002214
389,499.40625,0.762807476,0.76375383
390,499.4375,0.7486393339999999,0.74620605
391,499.46875,0.732831456,0.7363854
392,499.5,0.717327742,0.73501813
393,499.53125,0.704629067,0.7359449
394,499.5625,0.696718616,0.7347485
395,499.59375,0.694598125,0.734033
396,499.625,0.698416395,0.736205
397,499.65625,0.707221538,0.74092215
398,499.6875,0.7188264649999999,0.74688953
399,499.71875,0.73072836,0.7533276
400,499.75,0.740844176,0.7578934
401,499.78125,0.748095064,0.7610501
402,499.8125,0.75204507,0.7675403
403,499.84375,0.752950363,0.7749102
404,499.875,0.7517234359999999,0.7835817
405,499.90625,0.749866059,0.7931035
406,499.9375,0.749224729,0.8001378
407,499.96875,0.75121176,0.8042895
408,500.0,0.7566705509999998,0.80753833
409,500.03125,0.76602678,0.8093958
410,500.0625,0.778819866,0.8101219
411,500.09375,0.7932727490000002,0.8106795
412,500.125,0.806811743,0.8118106
413,500.15625,0.81674265,0.81314796
414,500.1875,0.8212914910000001,0.81358844
415,500.21875,0.8200606400000001,0.81310284
416,500.25,0.8137664230000001,0.8116238
417,500.28125,0.80364351,0.8093613
418,500.3125,0.790951774,0.8066455
419,500.34375,0.776683673,0.80265397
420,500.375,0.761210685,0.79453397
421,500.40625,0.744913681,0.7780184
422,500.4375,0.7283655720000001,0.76001024
423,500.46875,0.7122090990000001,0.74931145
424,500.5,0.6972125459999999,0.7464516
425,500.53125,0.684503429,0.7462018
426,500.5625,0.675079595,0.7457599
427,500.59375,0.6695492679999999,0.74688333
428,500.625,0.668054264,0.74982715
429,500.65625,0.670012289,0.7539319
430,500.6875,0.674287135,0.758852
431,500.71875,0.679790412,0.76448864
432,500.75,0.685852267,0.7693474
433,500.78125,0.6920232829999999,0.7728326
434,500.8125,0.697947435,0.7789493
435,500.84375,0.703604613,0.7874512
436,500.875,0.7097142040000001,0.7967957
437,500.90625,0.717646875,0.80531335
438,500.9375,0.7289344509999999,0.81144124
439,500.96875,0.7447734809999998,0.8178605
440,501.0,0.765160175,0.8236402
441,501.03125,0.788379908,0.82706493
442,501.0625,0.811413922,0.8294814
443,501.09375,0.831485265,0.8314756
444,501.125,0.846973056,0.8331648
445,501.15625,0.8571000549999999,0.834105
446,501.1875,0.861542435,0.83360815
447,501.21875,0.8602980840000001,0.831944
448,501.25,0.8537798529999999,0.82946706
449,501.28125,0.842778015,0.8262818
450,501.3125,0.8280482720000001,0.8224381
451,501.34375,0.810150935,0.81817645
452,501.375,0.789877918,0.8098696
453,501.40625,0.7680689159999999,0.79569507
454,501.4375,0.746073412,0.78099024
455,501.46875,0.725823212,0.7709883
456,501.5,0.7092132,0.766563
457,501.53125,0.6976853909999999,0.7651978
458,501.5625,0.69207759,0.7652355
459,501.59375,0.692498135,0.7665262
460,501.625,0.69813419,0.7686121
461,501.65625,0.707315195,0.7710326
462,501.6875,0.718511507,0.7744033
463,501.71875,0.7305546690000001,0.7791661
464,501.75,0.742356995,0.7827626
465,501.78125,0.752884785,0.7855403
