,Time (d),COD_meas_GA (gCOD/m3),COD_pred_GA (gCOD/m3)
628,526.5625,55.916004408,57.265106
629,526.625,55.89171778000001,57.182114
630,526.6875,55.993911495000006,57.207813
631,526.75,56.02328971,57.3268
632,526.8125,56.085809074,57.383842
633,526.875,56.268467151,57.44876
634,526.9375,56.51128116699998,57.624073
635,527.0,56.467089922,57.83796
636,527.0625,56.478536876999996,57.783123
637,527.125,56.384936712,57.7527
638,527.1875,56.19107429199999,57.592575
639,527.25,56.004096129000004,57.321445
640,527.3125,55.777286729000004,57.03596
641,527.375,55.687697878,56.71927
642,527.4375,55.704650926000014,56.575817
643,527.5,55.53206450700001,56.565113
644,527.5625,55.20095471699999,56.446426
645,527.625,55.02706962899999,56.228226
646,527.6875,54.885976320999994,56.124718
647,527.75,54.607011147,56.033276
648,527.8125,54.464297886000004,55.83531
649,527.875,54.306023558999996,55.7298
650,527.9375,54.21495685000001,55.605766
651,528.0,53.85128363699999,55.560146
652,528.0625,53.513594652,55.24202
653,528.125,53.14533050100001,54.91944
654,528.1875,52.898904818999995,54.53463
655,528.25,52.690524632,54.249004
656,528.3125,52.463428516,53.976875
657,528.375,52.624364251,53.690666
658,528.4375,52.96478479,53.84402
659,528.5,53.02974825100001,54.149483
660,528.5625,53.01281742000001,54.23047
661,528.625,52.953362515,54.292667
662,528.6875,52.86807031399999,54.271908
663,528.75,52.921521358999996,54.219067
664,528.8125,53.189128157000006,54.317448
665,528.875,53.56423063199999,54.58215
666,528.9375,53.53208871,54.92893
667,529.0,53.34231929,54.917492
668,529.0625,53.240569318999995,54.723545
669,529.125,53.213562409,54.566612
670,529.1875,53.143448093,54.4626
671,529.25,52.96280110300001,54.29361
672,529.3125,52.839145689000006,54.02652
673,529.375,52.94027545300001,53.814846
674,529.4375,53.040175935,53.8614
675,529.5,53.14709733300001,53.942825
676,529.5625,52.99651893100001,54.08437
677,529.625,52.954920785,54.024998
678,529.6875,52.88180247,54.037376
679,529.75,52.75116575799999,54.01298
680,529.8125,52.787077272000005,53.93622
681,529.875,52.815108372000005,53.977192
682,529.9375,52.56302843899999,54.01594
683,530.0,52.435205137,53.808544
684,530.0625,52.596477893,53.70933
685,530.125,52.741383893000005,53.832382
686,530.1875,52.755506132,53.904568
687,530.25,52.510695806,53.801952
688,530.3125,52.211551674,53.47015
689,530.375,52.305684523000004,53.101055
690,530.4375,52.543906532,53.17889
691,530.5,52.498688796,53.42667
692,530.5625,52.431027266,53.399998
693,530.625,52.247048502,53.41532
694,530.6875,51.921545398999996,53.315647
695,530.75,51.766298488000004,53.033615
696,530.8125,52.065980628999995,52.972927
697,530.875,52.168158103,53.297215
698,530.9375,52.107745218000005,53.416313
699,531.0,51.88939682300001,53.38249
700,531.0625,51.596340077,53.16524
701,531.125,51.253724733999995,52.83891
702,531.1875,51.249574204000005,52.47578
703,531.25,51.031325984000006,52.398838
704,531.3125,50.785622062,52.096607
705,531.375,50.771478429,51.79018
706,531.4375,50.901666686000006,51.81316
707,531.5,51.199349865,51.996395
708,531.5625,51.26214709600001,52.299908
709,531.625,50.996078196000006,52.422726
710,531.6875,51.094070513,52.233646
711,531.75,51.167807268000004,52.361965
712,531.8125,51.15717843,52.486267
713,531.875,51.247182009,52.52889
714,531.9375,51.30286708,52.669483
715,532.0,51.37040443500001,52.77021
716,532.0625,51.599260913,52.829422
717,532.125,51.591678338,52.999043
718,532.1875,51.49351219,52.93525
719,532.25,51.483164741,52.77281
720,532.3125,51.58107534700001,52.6695
721,532.375,51.995350377,52.663063
722,532.4375,52.477382966,53.089725
723,532.5,52.644735022,53.562443
724,532.5625,52.588202196,53.76041
725,532.625,52.598095866,53.798225
726,532.6875,52.609235595,53.8341
727,532.75,52.728307666999996,53.888065
728,532.8125,52.946787902,54.075497
729,532.875,52.864888066999995,54.282116
730,532.9375,52.676052907,54.228123
731,533.0,52.687676073999995,54.105938
732,533.0625,52.647081316000005,54.127216
733,533.125,52.482265109,54.04999
734,533.1875,52.302541015,53.877777
735,533.25,52.189110176999996,53.666203
736,533.3125,52.139192208000004,53.492733
737,533.375,52.01002385700001,53.366016
738,533.4375,52.180668956999995,53.293736
739,533.5,52.186583688999995,53.522873
740,533.5625,52.10457854,53.59897
741,533.625,52.192311773,53.62948
742,533.6875,52.171819129000006,53.74768
743,533.75,52.093588011,53.737762
744,533.8125,52.432385756,53.76305
745,533.875,52.742333059,54.11446
746,533.9375,52.801185411999995,54.404995
747,534.0,52.753193048,54.48894
748,534.0625,52.954101985,54.4563
749,534.125,52.753658398999995,54.575134
750,534.1875,52.457792683,54.335922
751,534.25,52.222824446000004,54.006725
752,534.3125,52.124368204,53.71511
753,534.375,52.270319384,53.53782
754,534.4375,52.461517312,53.702923
755,534.5,52.403765521000004,53.92505
756,534.5625,52.31816461099999,53.917145
757,534.625,52.534443705,53.91527
758,534.6875,52.938930943,54.182808
759,534.75,53.009230283000015,54.591267
760,534.8125,53.110799828999994,54.73701
761,534.875,53.279581199,54.84503
762,534.9375,53.259684707,54.988228
763,535.0,53.18646894999999,54.947315
764,535.0625,53.278635696,54.87719
765,535.125,53.205250768,54.935123
766,535.1875,53.040665219,54.791004
767,535.25,52.912622344,54.578625
768,535.3125,52.95624794,54.38299
769,535.375,53.19353797600001,54.349316
770,535.4375,53.50699345099999,54.582996
771,535.5,53.62308633999999,54.86099
772,535.5625,53.749062937000005,54.992172
773,535.625,53.703378982,55.189568
774,535.6875,53.56548432199999,55.19884
775,535.75,53.428491689,55.11138
776,535.8125,53.61738794300001,55.050995
777,535.875,53.944058138,55.25968
778,535.9375,54.354449846,55.561295
779,536.0,54.452384513999995,55.973606
780,536.0625,54.380022284,56.045467
781,536.125,54.529228923000005,55.950058
782,536.1875,54.479923160000006,56.03763
783,536.25,54.37288095400001,55.904617
784,536.3125,54.33827619399999,55.707554
785,536.375,54.357547774,55.580055
786,536.4375,54.75205290299999,55.549637
787,536.5,54.890607352,55.850525
788,536.5625,54.884659903999996,55.99784
789,536.625,54.832927781,56.08931
790,536.6875,54.81118489399999,56.114674
791,536.75,54.87845839699999,56.146214
792,536.8125,55.064719626,56.2574
793,536.875,55.48473060199999,56.478786
794,536.9375,55.452891911,56.882904
795,537.0,55.42429313399999,56.861874
796,537.0625,55.34292622100001,56.833096
797,537.125,55.07701245000002,56.72741
798,537.1875,54.843376964,56.438522
799,537.25,54.82583212100001,56.161663
800,537.3125,54.735628789,56.068928
801,537.375,55.062283512,55.91173
802,537.4375,55.661776070000016,56.18261
803,537.5,55.822025225,56.664127
804,537.5625,55.72625528499999,56.8324
805,537.625,55.464718606000005,56.80362
806,537.6875,55.260293293000004,56.582195
807,537.75,55.19117576000001,56.404293
808,537.8125,54.993432435,56.372025
809,537.875,54.82790120200001,56.201714
810,537.9375,54.79710972500001,56.05982
811,538.0,54.808550118999996,56.068794
812,538.0625,54.688707366,56.09189
813,538.125,54.533273441999995,55.969223
814,538.1875,54.476125349,55.797935
815,538.25,54.359182866000005,55.701023
816,538.3125,54.23074060199999,55.525112
817,538.375,54.32081883800001,55.350323
818,538.4375,54.67849776300001,55.427967
819,538.5,54.655257061,55.701916
820,538.5625,54.546482915000006,55.687363
821,538.625,54.662159821,55.667206
822,538.6875,54.93751545500002,55.823906
823,538.75,55.144840563,56.108856
824,538.8125,55.428537417,56.313194
825,538.875,55.95784833400001,56.570927
826,538.9375,56.214160373999995,57.03597
827,539.0,56.267132817,57.245106
828,539.0625,56.33734468000001,57.2563
829,539.125,56.41442493,57.244247
830,539.1875,56.157723985,57.20862
831,539.25,55.889269604999996,56.859985
832,539.3125,55.619884299,56.49245
833,539.375,55.718310228,56.123573
834,539.4375,56.18024739799999,56.1508
835,539.5,55.88321717699999,56.53729
836,539.5625,55.26778550000001,56.3355
837,539.625,54.903868198000005,55.868164
838,539.6875,54.569615891,55.596527
839,539.75,54.265245508,55.331776
840,539.8125,54.05484787299999,55.112984
841,539.875,53.834130365,54.969204
842,539.9375,53.487840096000006,54.81139
843,540.0,52.881727358,54.540474
844,540.0625,52.569610727,54.003937
845,540.125,52.281479121000004,53.702255
846,540.1875,51.792024569,53.39979
847,540.25,51.225299914,52.89412
848,540.3125,50.793588062000005,52.32451
849,540.375,50.680288489000006,51.893826
850,540.4375,50.846157733000005,51.89344
851,540.5,50.829747013,52.175407
852,540.5625,50.717001298999996,52.269257
853,540.625,50.526848107,52.272995
