,Time (d),NH4_meas (gNm3),NH4_pred (gN/m3)
388,511.5625,0.579926807,0.6065535
389,511.625,0.583747094,0.60174686
390,511.6875,0.600065511,0.60318637
391,511.75,0.621803216,0.6194571
392,511.8125,0.641248307,0.6358718
393,511.875,0.657014425,0.6568678
394,511.9375,0.670053282,0.6682788
395,512.0,0.6859168059999999,0.6739521
396,512.0625,0.702807796,0.6801979
397,512.125,0.712708937,0.6876109
398,512.1875,0.710584873,0.6980051
399,512.25,0.698792335,0.69896466
400,512.3125,0.6867153290000001,0.68507487
401,512.375,0.67766886,0.6735864
402,512.4375,0.6656954589999999,0.6707509
403,512.5,0.6490930079999999,0.66580653
404,512.5625,0.635147104,0.64973867
405,512.625,0.631420278,0.6393571
406,512.6875,0.637165915,0.6325077
407,512.75,0.647667488,0.6356831
408,512.8125,0.657352654,0.63893205
409,512.875,0.6631838729999999,0.64424396
410,512.9375,0.663140152,0.65863883
411,513.0,0.662521648,0.664013
412,513.0625,0.6765971,0.65951777
413,513.125,0.7063960029999999,0.66939235
414,513.1875,0.734087675,0.68762517
415,513.25,0.7484114190000001,0.7042631
416,513.3125,0.7469636209999999,0.70956755
417,513.375,0.7304868659999998,0.7087848
418,513.4375,0.702466108,0.70682
419,513.5,0.674263163,0.6914292
420,513.5625,0.659033294,0.66660684
421,513.625,0.660792158,0.65278876
422,513.6875,0.6724345909999999,0.65604883
423,513.75,0.6857275620000001,0.6615421
424,513.8125,0.698394673,0.67346656
425,513.875,0.7073645559999999,0.6845253
426,513.9375,0.713725539,0.6901354
427,514.0,0.722711038,0.69595337
428,514.0625,0.7348835979999999,0.7013675
429,514.125,0.748655375,0.70573115
430,514.1875,0.760358915,0.71059096
431,514.25,0.7634150340000001,0.71364546
432,514.3125,0.754493788,0.7109182
433,514.375,0.733895414,0.70399266
434,514.4375,0.704807711,0.69799256
435,514.5,0.675835447,0.6840452
436,514.5625,0.658812408,0.66586745
437,514.625,0.6606517129999999,0.6498278
438,514.6875,0.678335355,0.6522714
439,514.75,0.699795853,0.6644163
440,514.8125,0.716912433,0.6795702
441,514.875,0.726768319,0.6974622
442,514.9375,0.7301964790000001,0.70776016
443,515.0,0.7365966170000001,0.7102744
444,515.0625,0.7512563870000001,0.7137403
445,515.125,0.7684578919999999,0.72508097
446,515.1875,0.781683362,0.73549277
447,515.25,0.786895105,0.74684936
448,515.3125,0.781587606,0.7493776
449,515.375,0.7678223660000001,0.7442957
450,515.4375,0.746431209,0.7422653
451,515.5,0.721088737,0.7387798
452,515.5625,0.7064288040000001,0.7187654
453,515.625,0.7144622070000001,0.7021205
454,515.6875,0.7367616240000001,0.7100139
455,515.75,0.7558633379999999,0.7294795
456,515.8125,0.76638962,0.7509978
457,515.875,0.7742655079999999,0.7640253
458,515.9375,0.786990823,0.7746728
459,516.0,0.8072599570000001,0.7804343
460,516.0625,0.830800025,0.7873093
461,516.125,0.843436643,0.7967217
462,516.1875,0.834089843,0.80301
463,516.25,0.806071264,0.7889939
464,516.3125,0.7707098829999999,0.7625446
465,516.375,0.7343196059999999,0.7311664
466,516.4375,0.699446566,0.7099497
467,516.5,0.669331524,0.6840091
468,516.5625,0.648494527,0.65667444
469,516.625,0.637802972,0.6338439
470,516.6875,0.6337310589999999,0.620956
471,516.75,0.631231787,0.61949193
472,516.8125,0.627513594,0.61621493
